NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
LBN,0.1195382915077064,0.052281339456382483,,0.1031048906757989,0.22501949912447708,0.22324698371265456,0.12348862435849596,0.3625018701657695,0.16359672226452945,,0.27779368812518207,,0.17287538016256532,,,,0.20338185845294757,,,,,0.0027407774977874586,,,,,,0.2746184621854119,,,,,,,
JOR,0.082590033963725,0.04681938267483623,,,,0.12359305054938899,0.016549276627398617,,0.19097845633363467,,0.2739045974932137,0.16882426765919814,0.1745895567079921,,,,,,0.05813585603887096,,,0.002137771903880126,,,,,,0.41145771971053174,,0.11904743948419591,,,,,
MWI,0.013500317374756784,0.0025136575919653048,,0.03222570333246148,,,,,,,0.10834472235828045,,,,,,,,0.006495656250882018,,,,,,,,,,,,,,,,
KIR,0.03300173151452647,,,,,,,,,,,,,,,,0.08118912617854246,,,,,,,,,,,,,,,,,,
BWA,0.023153064838691825,0.05279139709902824,,,,,,,,,0.1622909707675234,,0.1890465655008955,,,,,,,,,,,,,,,,,,,,,,
MMR,0.037042039963231355,0.01898236549571326,,,0.049563890133440265,0.0337717404785351,,0.02277141532173678,,,,,0.08019709786213347,,,,0.02996386922237377,,0.025419185714957628,,,,,,,,,,,,,,,,
MUS,0.03841166000802628,0.006289438635137873,,0.041007603539341964,,,,,0.15741958743373563,,0.24455769056476445,,0.11127767384710899,,,,0.2491578798056856,,0.04713857674601118,,,0.0060793007758821885,0.06364383232543028,,,,,,0.0024961169369426476,0.03767456848293651,,,,,
MOZ,0.24071652235604452,0.024009913670808937,,,,,,0.02277141532173678,,,0.11575102965637574,,0.024951088600525074,,,,,,,,,,,,,,,,,,,,,,
GMB,0.05827225105250493,0.043106512042870096,,,,,,,0.06358180234046154,,0.24560435356965157,,0.11910960395423702,,,,,,,,,,,,,,,,,,,,,,
KHM,0.013500317374756784,0.002746553490017296,,0.03222570333246148,,,,,0.023768402323328705,,0.18031539391726345,,0.004348928866562971,,,,,,,,,,,,,,,0.23510899147822573,,,,,,,
GNB,0.038950386924659484,,,,,,,,0.06358180234046154,,,,0.11403648406666231,,,,,,,,,,,,,,,,,,,,,,
PRY,0.07333842461419518,0.05279139709902824,,,0.09294667436125416,0.09399925624701637,0.06058894965463918,,,0.8073417884119998,0.24560435356965157,,0.181608804010663,,,,,,,,0.13517257599691582,0.0072685319465871645,,,,,,,,,,,,0.03384653311564443,
NER,0.015991920802582976,0.0025136575919653048,,,0.36870600608495996,,,,,,0.2356561536668297,,0.002527133940892709,,,,,,,,,,,,,,,0.5191414596084474,,,,,,,
UGA,0.23811795629344504,0.0019781877952995608,,0.0066286829237768834,,,,,,,0.30913997173213226,,,,,,0.018070835272795786,,0.05813585603887096,,,0.007922216400009867,0.04990577233521763,,,,,,,,,,,,0.003853502110224604
CMR,0.13630768741517282,0.0227754136293833,,0.0006637412331229063,0.1051993662854435,,,,0.05272245452790906,0.07949351638469525,0.2769401780103177,,0.024951088600525074,,,0.1494551718323085,0.04783949224530234,,,,,0.007922216400009867,,,,,,,,,,,,,
GIN,0.04368607103063178,0.0050897639371298466,,,,,,,0.11750949567088177,,0.08520793963971761,,0.024951088600525074,,,,,,,,,,,,,,,0.15800280444806145,,,,,,,
SYR,0.2529504229962266,0.022176795385657467,,,,0.1927342740525262,,,0.14186949268145602,0.000209852421283222,0.24560435356965157,,0.11403648406666231,,,,0.19701595185984422,,,0.044011253454934986,,,,,,,,,,,,,,,
MDG,0.009317416185925345,0.01898236549571326,,0.03222570333246148,,,,,0.11818190613072574,,0.1622909707675234,,0.003201555881115984,,,,0.02996386922237377,,,,0.005055076175097723,,,,,,,,,,,,,,
MLI,0.03987678501268376,0.0050897639371298466,,,,,,,,0.0004769638180708845,0.06304547805499744,,0.06770886501297256,0.012766978386990858,,,,,,,,,,,,,,0.1845908226813102,,,,,,,
LSO,0.015991920802582976,0.024009913670808937,,0.0006637412331229063,,,,,,,0.04569111689880614,,,,,,,,,,,,,,,,,0.23510899147822573,,,,,,,
LIE,0.011345843747659063,0.01516256087423414,,,,0.04101451795933517,,,,,,,0.0041210730784716895,,,,,,,,0.18451178563400647,,,,,,,,,,,,,,
MNG,0.141269499065249,0.01800159534733638,,0.02396483568691873,,0.40378966474453226,,,0.050984191292407416,,0.6512660144899294,,0.4078558731326872,,,,0.20338185845294757,,0.004544578134936807,,,,,,,,,0.3940523922030433,,,,,,,
GUY,0.037042039963231355,0.01898236549571326,,0.0016631997579581185,,,,,,,0.20292742168859376,,0.048138195712394985,,,,0.02996386922237377,,,,,,,,,,,,,,,,,,
BIH,0.043027633485142665,0.006289438635137873,,,,0.09399925624701637,,0.1993465364650669,0.15741958743373563,,,,0.11127767384710899,,,,,,,,0.14869812527853773,0.0060793007758821885,,,,,,0.1845908226813102,,,,,,,
GTM,0.06905735225247062,0.0050897639371298466,0.020611045191976818,0.021041703951828045,0.00868525583820137,0.053499371203822664,0.06058894965463918,0.15768128123291542,0.06396799678731176,0.009922267402324473,0.24560435356965157,0.11159693884093254,0.181608804010663,,,,0.06911734525436405,,,,,,0.04255626407898637,0.07023345841865083,,,,0.29188442118233465,,,,,,,
GEO,0.09735604104974803,0.022176795385657467,0.023318398462152137,0.04657246169779505,,0.38741787914203785,0.008769752989089852,0.10793980654144092,0.6772423619156945,,0.2890165772188205,,0.5798725980924613,,,,0.6500319003989126,,0.019608220875819427,0.044011253454934986,0.13517257599691582,,,0.07023345841865083,,,0.07588024452552737,,0.03834086436000364,,,,0.3211362461184952,,
RWA,0.04449902887192627,0.02337962468866477,,0.03222570333246148,,,,,,,,,0.048138195712394985,,,,,,,,,,,,,,,,,,,,,,
CRI,0.048088940550299185,0.4506572958320956,,0.021041703951828045,,0.06066019088340155,0.004898851015285899,0.14563940143927356,,0.02661570300451883,0.15790037816443606,,0.08827373127072181,,,,0.08118912617854246,,0.04713857674601118,0.03381928435019355,0.0610209590275921,,,,,,,0.2604401356436151,0.07221338877945724,0.023676956438391968,,,,,
EST,0.3877863077843383,0.036551629974873635,,0.11927554312719628,0.4520615347220797,0.25227805901973516,0.04326713341964967,0.24287266889327397,0.22135996463745627,,,,0.7178172595581878,,,,0.2492504851193417,,0.1196163659441936,,0.12258124052352853,,0.0012821280758816898,0.11134403669471878,,,0.08355516484793309,,0.07221338877945724,0.023676956438391968,,,,,
ROU,0.48671635370009886,0.2689089843195634,0.7804291307113591,0.04657246169779505,0.8219562814955856,0.6226090380053159,0.6580340823979329,0.41321486848268507,0.25077808516407835,,0.6298619350718015,0.11159693884093254,0.4213834824673582,,0.026688863006300727,,0.4681865394743801,0.00833247217280714,0.019608220875819427,0.044011253454934986,0.34802946150174036,0.0072685319465871645,0.04255626407898637,0.07023345841865083,,,0.07588024452552737,,,,,,,,
