NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
LIE,0.011621659065473588,0.014716444193045368,,,,0.042063760749962695,,,,,,,0.004156143621737094,,,,,,,,0.17613784075725614,,,,,,,,,,,,,,
MNG,0.14082262211465452,0.017852078384125586,,0.023882825403525626,,0.40226228749755577,,,0.0510721389166806,,0.6441367680067318,,0.4060429739358712,,,,0.19965463553979126,,0.00282568819449526,,,,,,,,,0.391344148728509,,,,,,,
GUY,0.03708404714123711,0.019259606744056947,,0.0016989585396545868,,,,,,,0.20292946674396856,,0.0486596577738636,,,,0.03050275166529115,,,,,,,,,,,,,,,,,,
BIH,0.04462570010169034,0.0062236863481478525,,,,0.0952397061535712,,0.1992093966536016,0.15714243809678435,,,,0.11037561376681063,,,,,,,,0.1677111766277106,0.005874370649652814,,,,,,0.186807956061766,,,,,,,
GTM,0.0689694691554952,0.005139153328444078,0.017866345781623418,0.020859135064760857,0.008687871731303429,0.05430065320828901,0.06060129388851356,0.1603681668239946,0.06399020038810568,0.009315118785049063,0.24728724554793555,0.11233281435530526,0.18008794838265302,,,,0.06916953651814936,,,,,,0.04255722418206227,0.07023515040878325,,,,0.2932651896421536,,,,,,,
GEO,0.09867638140671355,0.021561318613283965,0.020387916639106773,0.04685877078408468,,0.3874238449398633,0.008773172258317643,0.10697086946493081,0.6772265157207413,,0.2890185782879377,,0.5799083847197152,,,,0.6500308975474924,,0.01309407950276315,0.043898376834079406,0.1312515044587815,,,0.07023515040878325,,,0.07215702337429811,,0.040626102301913804,,,,0.3211181487074164,,
RWA,0.044820655029582,0.023254373738222613,,0.03230393452608652,,,,,,,,,0.0486596577738636,,,,,,,,,,,,,,,,,,,,,,
CRI,0.04839098825918301,0.4516735984075807,,0.020859135064760857,,0.060759363113633814,0.004901541133734653,0.14419891512300687,,0.026628749382754505,0.15955604275163526,,0.08820179817004012,,,,0.08172748416728459,,0.050456814712328366,0.033799795614651504,0.058603958401272714,,,,,,,0.2593027471637187,0.07281862299596613,0.023687781555014668,,,,,
EST,0.38497140491183257,0.03561508084404607,,0.11753651531662972,0.45384402722475353,0.2510481024790902,0.043281043765246933,0.24012019500563747,0.22172756045586414,,,,0.717837020704321,,,,0.2498252135613224,,0.09980008991056244,,0.11773147636156253,,0.0012816411488321044,0.11134626844760519,,,0.07676351664690421,,0.07281862299596613,0.023687781555014668,,,,,
ROU,0.4867106165611182,0.2689375972895155,0.7804380572978967,0.04685877078408468,0.8219183290273797,0.6226001656915466,0.6580464458803645,0.4132034872936384,0.2507855849631171,,0.629856825129191,0.11233281435530526,0.4214076150816814,,0.026707396681760143,,0.4681890760445978,0.002591184080817175,0.01309407950276315,0.043898376834079406,0.3480398974092659,0.006647532165126085,0.04255722418206227,0.07023515040878325,,,0.07215702337429811,,,,,,,,
DOM,0.11672142631031111,0.03561508084404607,0.03475884410924164,0.10438527424702904,,0.10967708573880763,,,0.18305343611872915,,0.2305470107416578,0.17291918707067994,0.06869085892330978,,,0.05694418921075925,0.039646054964712636,,0.03131586382758621,0.03772022643877969,0.04213760236683684,0.006647532165126085,,,0.01247802147886201,0.00039613628964295855,,0.49024699542417965,,,,,,,
TON,0.01642155581705588,0.002426054366819406,,,,,,,,,0.2577795644411449,,0.004299125033258392,,,,0.07159126822865228,,0.03182766598733662,,,,,,,,,0.23299511824299043,,,,,,,
TGO,0.04380052089718524,0.005139153328444078,,0.000684374190993392,0.008687871731303429,,,0.6896941430847694,,,0.08689976572457025,,0.06839051768425346,,,,,,,,0.03832466791406484,0.007064757921534146,,,,,,,,,,,,,
PRT,0.1358079121480202,0.008650464445306691,0.020387916639106773,0.003923941871785948,0.04322169018129534,0.05304719319930595,0.016903615568764782,0.2977649217882349,0.12945397714163126,0.0007177446353178255,0.16435441809871637,0.05293346633720718,0.18501561046484172,,,,0.08172748416728459,,0.01309407950276315,0.043898376834079406,0.058603958401272714,0.008644276548952397,0.0006917731468296832,0.030697190823493346,,,0.07215702337429811,0.17818300853834876,0.040626102301913804,0.08850953252929156,,,0.22932361446732497,0.07931215668823954,
ISL,0.13670333333032236,0.008011429377761533,0.11350238072903707,,,0.19319565624820695,,,,,,,0.23640696878740508,,0.4781895320330052,,0.2499686669220627,,,,,,0.11214873430887311,,,,,,,,,,,,
ECU,0.24253600643391016,0.05105003618783047,0.017866345781623418,0.04685877078408468,0.20870096678856662,0.10891870139020349,,0.39526016191021685,0.06399020038810568,,0.03851710438139303,0.21480721145219464,0.11991684129742997,,,,0.10859280561637619,,,0.03772022643877969,0.04213760236683684,0.006647532165126085,,,,,,0.23299511824299043,,0.023687781555014668,,,,,
PHL,0.02127799629825524,0.0037005547777232963,0.018418077424544096,0.023882825403525626,0.09126320060206194,0.022627710869103045,0.012463934746839284,,0.09219554230361157,,0.28756629169418296,0.11233281435530526,0.0486596577738636,0.001406855492377342,,,0.053517433887595355,,0.01122168256769145,0.043898376834079406,,0.005874370649652814,0.04255722418206227,,,,,0.17263068146725388,,,,,,0.03384790229950695,
CUB,0.6788708865838069,0.30657252188425915,0.016758712603068788,0.1602053864607408,0.01857516182969141,0.4161603429732653,0.2915004610786265,0.3217729733876341,0.5331688292207851,0.04212256385361166,0.914984856782129,,0.8078394531701718,0.1793072128285484,0.01134065453499159,0.5070890468521142,0.3702092980978752,0.053111489955440794,0.08348823737626158,0.033799795614651504,,0.008644276548952397,,0.09799262552871452,0.020002244203706138,0.9999671031909054,,0.6263281722049385,0.07281862299596613,,0.00015056110231427336,,,,0.092639946865882
MKD,0.12396866215511115,0.05105003618783047,,,,0.19287298913364123,,0.31724265983844896,0.3367065250111195,,,,0.18784383925682946,,,,,,,,,,,,,,,,,,,,,,
LAO,0.013517615807258278,0.019259606744056947,,0.041048532386729446,,,,,,,0.04649242810974393,,0.11037561376681063,,,,,,0.026751300313402903,,,,,,,,,,,,,,,,
NAM,0.6451086387896906,0.024333378189342232,0.00019129507343893158,0.023882825403525626,,0.000966653796670326,,,0.06399020038810568,,0.08077927532739974,,,,,,,,,,,,,,,,,,,,,,,,
VNM,0.044820655029582,0.002426054366819406,0.017619047689354732,0.0023915004204870098,0.02624892488510407,0.533359196752793,0.004388942373811765,0.03055218784573486,0.3111880467956681,,0.09415168291466548,,0.08000811862487926,,,,0.390767696426097,,,,,0.007024601499942436,0.05755721011133379,,,,,0.15769982010681002,,,,,,,
SEN,0.050442929987165805,0.005139153328444078,,,,0.0028556427031005385,0.06060129388851356,0.1603681668239946,0.016823987291040142,0.009315118785049063,0.11705693077782447,,0.04241701374967496,0.00595036361738616,,,,,,,,0.007064757921534146,,,,,,0.186807956061766,,,,,,,
SUR,0.06952987876127026,0.32163674736777326,,0.13749246687858455,,,,,,,,,0.18784383925682946,,,,,,,,,,0.001491287252525552,,,,,,,,,,,,
SLB,0.01642155581705588,,,,,,,,,,0.13353868524132498,,0.004299125033258392,,,,0.07159126822865228,,0.050456814712328366,,,,,,,,,,,,,,,,
VUT,0.013517615807258278,,,,0.022917122096811016,,,,,,0.1686539484795308,,0.07956645957565826,,,,,,0.03182766598733662,,,0.003066155634181199,,,,,,,,,,,,,
GUM,0.13670333333032236,0.10423863887289939,,0.22217560487610147,,,,0.3105052019022565,0.30660223184023633,,,,0.1339530650959502,,,,,,,,,,,,,,,,,,,,,,
ERI,0.3301574302847372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,0.01642155581705588,0.002426054366819406,,,,,,,0.06286251175830145,,0.09415168291466548,,,,,,0.07159126822865228,,,,,,,,,,,,,,,,,,
HTI,0.0824459951572472,0.024333378189342232,,,,,,,0.07592506954481339,,0.2708158744199163,,0.025057049478530966,,,,0.05702368710153434,,,,0.021798036821838382,,,,,,,0.186807956061766,,,,,,,
NOR,0.3170583456119389,0.03561508084404607,0.00723847973027674,0.24002503226204566,0.5547159286388166,0.19086267332684292,0.024558264313408452,0.5801201405363084,0.14772285350505804,0.09699574945043817,0.13473545859530872,0.12462561629591097,0.15131636724623382,,0.48130498785999387,,0.30404663914328006,,0.06074274128326705,0.033799795614651504,0.1412384638354536,,0.016014713397439886,,,,0.11647174013785325,0.5526369434745385,0.064723402187575,0.4388025007703414,,,,0.19734278020334806,
SLE,0.025515003858339793,0.006517738901674907,,0.0034079136123680246,,,,,,,0.11705693077782447,,,,,,0.0601167383744884,,,,,,,,,,,,,,,,,,
PRI,0.1183359212620889,0.004189286315071466,0.033773603109425974,0.04685877078408468,0.19154513623480104,0.019017871647224828,0.01655772479264921,,0.18305343611872915,,0.3041348455356559,0.08438910149741916,0.05290158259361796,0.007040341004261528,,,0.04245886827671233,,0.06074274128326705,0.043898376834079406,0.1312515044587815,,,,0.07329378601468459,0.00039613628964295855,,0.16479509887394234,0.08352733993061086,,0.00015056110231427336,,,,
BLZ,0.021948388260561797,,,0.04685877078408468,,0.19086267332684292,,,,,0.24728724554793555,,0.11037561376681063,,,,0.055786967625172164,,,,,,,,,,,0.186807956061766,,,,,,,
VCT,0.038743857102341905,0.0062236863481478525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,0.367132516669038,0.0062236863481478525,,,,,,,,,0.1686539484795308,,,,,,,,,,,,,,,,,0.15769982010681002,,,,,,,
BRB,0.15132284989142072,0.023254373738222613,0.021849943195862052,0.0034079136123680246,,0.03434409364961531,,,,,0.1686539484795308,,0.07956645957565826,,,,,,,,0.02988843771425614,,,,,,,,,0.037675968305535594,,,,,
LBR,0.05476235499239286,,,,,,,,,,0.17674816230470114,,,,,,,,,,,,,,,,,,,,,,,,
ATG,0.023696430242884377,0.023254373738222613,,0.0034079136123680246,,,,0.03055218784573486,,,0.1686539484795308,,,,,,,,,,,,,,,,,,,,,,,,
TTO,0.6300882808791377,0.15182273714377664,0.021849943195862052,0.016342202907237268,0.18664944360095143,0.145882785731689,,,,,0.24728724554793555,,0.18008794838265302,,,,0.018349750688762514,,,,,0.006647532165126085,0.0636748680174402,,,,,0.23299511824299043,,,,,,,
LKA,0.1456052128146452,0.002001959554817141,,0.0011916332318125764,,0.027179634848683323,,,0.02400651466213577,,0.09117926143483424,,0.004299125033258392,,,,0.07159126822865228,,,0.029528305554535367,,,0.0636748680174402,,,,,,,,,,,,
MLT,0.10452578464488399,0.07091487950340108,,0.12111265468960596,,0.09400026026198756,,,0.17094770101374657,,,,0.18912364666134368,,,,0.16598338960657086,,0.09792223446633606,,,,,,,,,,,,,,,,
SYC,0.03922487060521907,0.021561318613283965,,,,,,0.10697086946493081,,,0.12382401571955345,,0.18008794838265302,,,,0.19596741629429962,,,,,,0.04255722418206227,,,,,,,,,,,,
PNG,0.008625744047941995,0.007110153940071088,,,,0.145882785731689,,,,,0.09675235555578549,,0.11501367460515645,,,,0.05702368710153434,,,,,,,,,,,0.23299511824299043,,,,,,,
ARG,0.017243980061744636,0.029561186532079405,0.018731702784549973,0.05402321531074896,0.0636883786779505,0.028041088135278842,0.018641596201772272,0.03374964688156904,0.05271363699056039,0.666598167832131,0.20189493242987466,0.1525386364881394,0.17379742234615775,0.6812669037353293,0.02516416702777887,0.4503938474686232,0.033514565522548556,,0.03131586382758621,0.043898376834079406,0.5059065662886201,0.0933766952759805,,0.7600322621569391,0.07329378601468459,,,0.40696181659803526,0.08352733993061086,0.0021007799642548835,,0.1157705252007444,,0.07931215668823954,0.6569968935855822
BHS,0.698103199771704,0.05167906407965122,,0.0823409613415545,0.28861044109397205,,,,0.07592506954481339,,0.2523929856701564,,,,,,,,,0.043898376834079406,0.1312515044587815,,,,,,,,,,,,,,
IRL,0.0935814120748493,0.33510929017258945,0.06989150264526732,0.00957565742426586,0.06044439325495656,0.06519784754527527,0.043281043765246933,0.07527168154041974,0.12799064243766178,,0.6347879651226275,0.037589093018698984,0.10779565263446461,,,,0.19596741629429962,,0.01309407950276315,0.09551190067087413,0.04213760236683684,,0.0006917731468296832,0.14755290831803008,,,,,,0.37676601559874356,,,,0.07931215668823954,0.001464143877152223
VIR,0.03888790651502334,0.022169833520808247,,0.10438527424702904,,0.10588703239436031,0.12351979417900687,,0.18955389846359175,,0.21191123954963537,0.17291918707067994,,,,,0.19965463553979126,,,,,,,,,,,,,,,,,,
TLS,0.044820655029582,,,0.0034079136123680246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,0.010242821874709186,0.002426054366819406,,,,0.003954968482967802,,,,,0.08859457240801621,,0.004299125033258392,,,,0.0483207091103779,,0.03182766598733662,,,,,,,,,0.23299511824299043,,,,,,,
SAU,0.12437159381990767,0.03561508084404607,,0.042747546011651795,,0.13428373438657767,0.06060129388851356,,,0.007936521288648779,,0.5601648262773562,0.12242275982543173,,,,0.1997769521696732,,0.01122168256769145,,,0.006647532165126085,,,,,,0.40696181659803526,,,,,,,
BEN,0.033409355281025906,0.005139153328444078,,0.008499895226974186,,,0.06060129388851356,,,,0.11705693077782447,,0.06839051768425346,,,,,,,,0.03832466791406484,,,,,,,0.186807956061766,,,,,,,
BGD,0.013517615807258278,0.002001959554817141,0.021849943195862052,,,0.03166083038416397,,,,,,,,,,,,,0.11402232849819888,,,,,,,,,,,,,,,0.03384790229950695,
FJI,0.02380326641348505,0.005139153328444078,,0.020859135064760857,,0.19086267332684292,,,,0.0007177446353178255,0.15955604275163526,,0.1570921120775303,,,,0.19596741629429962,,0.01309407950276315,,,0.006647532165126085,,,,,,,,,,0.7231727040004963,,,
ZAF,0.418161419531301,0.47659551990696064,0.018418077424544096,0.019184293250994782,0.30610190724454883,0.006376493792700236,0.010677536754839685,0.08422252802398138,0.0752964321501481,0.0009013737467026948,0.27411291219088113,0.032440550955267,0.12037846586146062,,,,0.04726327791421696,0.002591184080817175,0.00282568819449526,0.03772022643877969,0.5105548572752876,0.007993333770254612,0.001152871496735007,0.07023515040878325,0.01247802147886201,0.007309592311492296,0.1097657025943045,0.23299511824299043,0.02745900304825488,0.2547724092254885,,0.9619243632621557,,0.07931215668823954,1.150292741832183e-05
KGZ,0.044820655029582,0.023254373738222613,,0.0034079136123680246,,0.03434409364961531,0.007858879468771987,0.1992093966536016,0.2682780391187127,,0.14573220707630624,,0.2193068461650948,,,,0.1148794423328238,,,,,,,0.1664142189686352,,,,0.15769982010681002,,,,,,,
TCD,0.014729198708082841,,,,,,,,,,0.17674816230470114,,0.0031984343546844537,,,,,,,,,,,,,,,,,,,,,,
KEN,0.7786978613639193,0.0025411377611559297,,0.0004798678660706776,0.37307352764344043,0.029941801913014914,,,0.02400651466213577,,0.4110963107149248,,0.07956645957565826,,,0.0023165476754853595,0.015452481678079045,,0.03182766598733662,,,,,,,,,0.23299511824299043,,,,0.06250894403731842,,,0.0002615174349993767
THA,0.006028675609048731,0.023254373738222613,,0.0011916332318125764,0.09126320060206194,0.008004676890838032,0.007639067654643754,0.10697086946493081,,0.0001866684712454426,0.6112490260162683,0.11233281435530526,0.07956645957565826,,,,0.7906769031732613,,0.01309407950276315,0.027748411248099663,0.1677111766277106,0.006647532165126085,0.02501164097682567,,,,,0.6671293601720248,,,,,,0.03384790229950695,
FIN,0.4593095090533339,0.07287876044376486,0.7506684792331996,0.01669985133883323,0.371337033427541,0.35633143258831745,0.07665265207803926,0.10759649312419751,0.35875596656660363,0.04212256385361166,0.5230029202898464,0.08094417366976656,0.0535455747448984,0.07275997961140784,,,0.33101853672934306,,0.5447498721449747,0.09551190067087413,0.03608728712116819,0.002929445680910352,0.05520674233102385,0.49285091559862304,0.031101680362994644,,0.07502179279383502,0.25540955963360595,,,,,,0.19734278020334806,
COG,0.04421346231275434,0.04248808030942287,,,,,0.010677536754839685,,,,0.13353868524132498,,0.06129958302998303,,0.057434280483762645,,,,,,,0.007993333770254612,,,,,,,,,,,,,
AUS,0.36074081568845473,0.8092050426647498,0.0023793759036799043,0.7636231418036357,0.46897756555454245,0.3382076007226913,0.017859003024941963,0.6170174991869891,0.03317724719960297,0.002092082670868919,0.15758498943831195,0.3475602603977809,0.1668667402545629,0.13542040998697003,0.05162503317595138,0.034005145262189014,0.198658781423625,0.059325328525320464,0.6477558633742468,0.5220938414633433,0.757238273826294,0.004510009003204514,0.018019860533414207,0.1672988112127247,0.03560100895857762,0.6039537140879385,0.042397179982708165,0.405680146309886,0.48704290168027503,0.8164236716062624,0.9717467217878983,0.7068893398530327,0.15348926141355235,0.07931215668823954,0.704168854733333
PAN,0.28703159966322406,0.021561318613283965,0.017619047689354732,,,0.19287298913364123,0.009282916149364936,0.31724265983844896,0.11124239200465073,,0.24728724554793555,,0.18876326713454816,0.0006695966434251071,,,0.12796100211118808,,,,,,,,,,,0.14192342418065132,,,,,,,
JAM,0.7897570593573923,0.024263508901299632,0.016435362666173,0.1933838440960603,,0.19086267332684292,,,,,0.06150421808877729,0.11233281435530526,,,,,0.19596741629429962,,,0.043898376834079406,,0.006647532165126085,0.04255722418206227,,,,,0.2932651896421536,,0.037675968305535594,,,,,
